L1,L2,C1,C2,Omega_1,Omega_2,Omega_3
5.362758e-08,2.986669e-09,1.229411e-07,1.722978e-07,1.231565e+07,1.569045e+07,4.408254e+07
4.370289e-07,2.154011e-07,1.573296e-08,7.026729e-09,1.205979e+07,1.776374e+07,2.570393e+07
1.124053e-09,5.635010e-09,2.166673e-09,1.817116e-07,6.407813e+08,2.628657e+08,3.125082e+07
3.783884e-09,3.043953e-08,9.801279e-09,7.445577e-08,1.642063e+08,5.808325e+07,2.100544e+07
1.372040e-09,2.172809e-09,8.644646e-07,8.054872e-09,2.903641e+07,1.880121e+08,2.390341e+08
4.494032e-08,3.159917e-08,2.907785e-09,9.836656e-09,8.747838e+07,7.629792e+07,5.672028e+07
5.779747e-07,2.858196e-08,1.252745e-07,7.659569e-07,3.716330e+06,3.913146e+06,6.758524e+06
2.180407e-08,6.827038e-07,5.144688e-07,7.749061e-09,9.441732e+06,1.363575e+07,1.374863e+07
5.035476e-09,4.703039e-09,1.278650e-09,9.794572e-09,3.940977e+08,3.013159e+08,1.473391e+08
4.170495e-09,3.151550e-07,5.098679e-07,2.358560e-07,2.168589e+07,4.406765e+06,3.667874e+06
2.648529e-07,1.996368e-09,8.063010e-07,1.850147e-09,2.163959e+06,4.505692e+07,5.203272e+08
1.258778e-08,1.792977e-08,1.231258e-07,3.850848e-08,2.540101e+07,3.342252e+07,3.805700e+07
1.382011e-09,1.957008e-09,1.284906e-08,5.039369e-08,2.373059e+08,1.710299e+08,1.006968e+08
4.513481e-07,3.192123e-08,3.547823e-09,1.768132e-08,2.498982e+07,2.646265e+07,4.209232e+07
1.046507e-07,3.731735e-08,2.444065e-08,5.177300e-08,1.977300e+07,2.059743e+07,2.275060e+07
1.250013e-09,5.245053e-09,1.818324e-09,7.674329e-07,6.632955e+08,2.913308e+08,1.576177e+07
2.730210e-08,6.804390e-08,3.120161e-07,2.088166e-09,1.083462e+07,7.110738e+07,8.389245e+07
7.351496e-08,3.487602e-09,3.704133e-07,2.137144e-08,6.059947e+06,2.535193e+07,1.158296e+08
1.495811e-07,1.322421e-07,3.302203e-07,3.814017e-08,4.499453e+06,1.018720e+07,1.408068e+07
1.230724e-07,3.670646e-09,1.774666e-09,4.482284e-08,6.766457e+07,6.798471e+07,7.796131e+07
2.204667e-07,6.802707e-07,1.872237e-07,6.426757e-07,4.922073e+06,2.767179e+06,1.512388e+06
3.420957e-09,2.439420e-08,6.488247e-07,2.115913e-07,2.122572e+07,1.501070e+07,1.391899e+07
